Alpha,Mean,Std,Median,Min,Max
0.0000,0.6020,0.2306,0.6000,0.1000,1.0000
0.1500,0.9770,0.0487,1.0000,0.8000,1.0000
0.2500,0.9980,0.0140,1.0000,0.9000,1.0000
0.3000,1.0000,0.0000,1.0000,1.0000,1.0000
0.3500,1.0000,0.0000,1.0000,1.0000,1.0000
0.4000,1.0000,0.0000,1.0000,1.0000,1.0000
0.5000,0.9990,0.0099,1.0000,0.9000,1.0000
0.6500,0.9950,0.0357,1.0000,0.7000,1.0000
0.7500,0.9890,0.0706,1.0000,0.5000,1.0000
0.8500,0.9780,0.1145,1.0000,0.3000,1.0000
1.0000,0.1640,0.2968,0.0000,0.0000,1.0000
