EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 5,000  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.6407        0.8595        3.0819         0.8266     5000
0.1500       0.6458        0.8862        3.0726         0.8348     5000
0.2500       0.6461        0.9064        3.0522         0.8329     5000
0.3000       0.6447        0.9174        3.0355         0.8301     5000
0.3500       0.6419        0.9292        3.0127         0.8257     5000
0.4000       0.6378        0.9412        2.9840         0.8178     5000
0.5000       0.6248        0.9644        2.9078         0.7898     5000
0.6500       0.6008        0.9885        2.7796         0.7229     5000
0.7500       0.5847        0.9976        2.6949         0.6808     5000
0.8500       0.5782        1.0000        2.6620         0.6642     5000
1.0000       0.2382        1.0000        1.5610         0.5304     5000

Best serendipity: α=0.25 → 0.6461
